x=-315, y=0371, z=0282
x=-317, y=0370, z=0282
x=-315, y=0371, z=0280
x=-322, y=0371, z=0282
x=-319, y=0371, z=0286
x=-319, y=0375, z=0280
x=-320, y=0374, z=0279
x=-318, y=0373, z=0283
x=-318, y=0375, z=0282
x=-319, y=0373, z=0284
x=-317, y=0373, z=0280
x=-316, y=0373, z=0285
x=-316, y=0371, z=0280
x=-316, y=0376, z=0283
x=-318, y=0374, z=0282
x=-319, y=0376, z=0280
x=-318, y=0374, z=0280
x=-319, y=0373, z=0280
x=-321, y=0376, z=0278
x=-321, y=0376, z=0278
x=-321, y=0368, z=0288
x=-322, y=0369, z=0282
x=-322, y=0369, z=0282
x=-323, y=0366, z=0281
x=-322, y=0366, z=0286
x=-321, y=0366, z=0283
x=-319, y=0366, z=0285
x=-319, y=0366, z=0285
x=-323, y=0366, z=0281
x=-321, y=0367, z=0285
x=-321, y=0367, z=0285
x=-322, y=0364, z=0285
x=-321, y=0362, z=0285
x=-317, y=0362, z=0286
x=-318, y=0366, z=0284
x=-317, y=0365, z=0286
x=-318, y=0368, z=0283
x=-319, y=0367, z=0284
x=-322, y=0369, z=0289
x=-322, y=0365, z=0285
x=-319, y=0365, z=0285
x=-317, y=0367, z=0283
x=-319, y=0367, z=0284
x=-325, y=0367, z=0283
x=-318, y=0367, z=0286
x=-318, y=0365, z=0287
x=-317, y=0366, z=0286
x=-319, y=0368, z=0284
x=-320, y=0366, z=0286
x=-317, y=0368, z=0286
x=-317, y=0366, z=0291
x=-316, y=0358, z=0292
x=-317, y=0363, z=0291
x=-317, y=0367, z=0287
x=-313, y=0366, z=0288
x=-315, y=0366, z=0285
x=-321, y=0365, z=0288
x=-321, y=0364, z=0283
x=-317, y=0365, z=0284
x=-319, y=0368, z=0282
x=-330, y=0365, z=0278
x=-370, y=0374, z=0245
x=-413, y=0373, z=0195
x=-455, y=0375, z=0131
x=-479, y=0375, z=0070
x=-496, y=0382, z=0016
x=-506, y=0380, z=-066
x=-496, y=0380, z=-129
x=-496, y=0380, z=-129
x=-468, y=0376, z=-231
x=-447, y=0376, z=-283
x=-447, y=0376, z=-283
x=-386, y=0376, z=-363
x=-335, y=0369, z=-414
x=-290, y=0371, z=-444
x=-250, y=0368, z=-465
x=-250, y=0368, z=-465
x=-184, y=0369, z=-495
x=-319, y=0371, z=-430
x=-319, y=0371, z=-430
x=-437, y=0380, z=-301
x=-463, y=0380, z=-253
x=-488, y=0380, z=-195
x=-497, y=0381, z=-154
x=-507, y=0379, z=-084
x=-502, y=0378, z=0005
x=-491, y=0376, z=0064
x=-466, y=0376, z=0131
x=-423, y=0372, z=0196
x=-387, y=0371, z=0243
x=-292, y=0366, z=0310
x=-187, y=0361, z=0351
x=-071, y=0361, z=0360
x=0011, y=0359, z=0351
x=0101, y=0357, z=0321
x=0205, y=0348, z=0259
x=0255, y=0348, z=0220
x=0330, y=0347, z=0105
x=0379, y=0347, z=-053
x=0379, y=0347, z=-150
x=0363, y=0342, z=-262
x=0298, y=0342, z=-377
x=0270, y=0344, z=-413
x=0251, y=0352, z=-423
x=0245, y=0355, z=-425
x=0316, y=0345, z=-348
x=0389, y=0337, z=-167
x=0368, y=0335, z=0061
x=0279, y=0339, z=0213
x=0014, y=0345, z=0367
x=-257, y=0359, z=0342
x=-443, y=0370, z=0199
x=-522, y=0375, z=-005
x=-503, y=0372, z=-198
x=-503, y=0372, z=-198
x=-349, y=0368, z=-428
x=-279, y=0365, z=-476
x=-279, y=0365, z=-476
x=-155, y=0358, z=-525
x=-153, y=0360, z=-525
x=-262, y=0367, z=-485
x=-390, y=0373, z=-383
x=-451, y=0376, z=-316
x=-483, y=0378, z=-253
x=-515, y=0376, z=-139
x=-515, y=0376, z=-139
x=-510, y=0379, z=0034
x=-502, y=0380, z=0068
x=-483, y=0376, z=0122
x=-466, y=0378, z=0155
x=-423, y=0377, z=0212
x=-363, y=0379, z=0271
x=-310, y=0377, z=0308
x=-212, y=0372, z=0354
x=-167, y=0373, z=0360
x=-086, y=0368, z=0368
x=-011, y=0367, z=0363
x=0111, y=0366, z=0324
x=0198, y=0366, z=0263
x=0244, y=0362, z=0229
x=0254, y=0354, z=0224
x=0248, y=0354, z=0225
x=0294, y=0363, z=0158
x=0291, y=0404, z=0077
x=0276, y=0436, z=0025
x=0313, y=0405, z=0023
x=0339, y=0396, z=-051
x=0340, y=0397, z=-142
x=0322, y=0398, z=-206
x=0291, y=0399, z=-281
x=0258, y=0387, z=-367
x=0190, y=0367, z=-445
x=0037, y=0351, z=-524
x=-096, y=0330, z=-546
x=-163, y=0327, z=-541
x=-247, y=0306, z=-538
x=-235, y=0300, z=-549
x=-168, y=0287, z=-569
x=-068, y=0290, z=-581
x=0139, y=0302, z=-532
x=0258, y=0317, z=-451
x=0390, y=0314, z=-253
x=0373, y=0317, z=0089
x=0373, y=0317, z=0089
x=0038, y=0343, z=0367
x=-267, y=0345, z=0345
x=-267, y=0345, z=0345
x=-542, y=0361, z=-079
x=-505, y=0370, z=-236
x=-443, y=0367, z=-352
x=-284, y=0348, z=-504
x=-284, y=0348, z=-504
x=-126, y=0331, z=-572
x=-129, y=0315, z=-581
x=-298, y=0326, z=-525
x=-389, y=0333, z=-452
x=-463, y=0336, z=-362
x=-523, y=0349, z=-240
x=-546, y=0351, z=-109
x=-540, y=0356, z=-042
x=-515, y=0360, z=0078
x=-488, y=0365, z=0132
x=-402, y=0366, z=0248
x=-315, y=0365, z=0311
x=-202, y=0362, z=0357
x=-123, y=0357, z=0369
x=-006, y=0357, z=0367
x=0159, y=0351, z=0299
x=0267, y=0350, z=0202
x=0368, y=0351, z=-004
x=0369, y=0353, z=-190
x=0345, y=0350, z=-277
x=0246, y=0342, z=-421
x=0023, y=0337, z=-536
x=-159, y=0333, z=-538
x=-147, y=0342, z=-538
x=-001, y=0343, z=-547
x=0174, y=0334, z=-496
x=0388, y=0310, z=-253
x=0283, y=0296, z=0249
x=-038, y=0308, z=0400
x=-465, y=0340, z=0199
x=-542, y=0347, z=-067
x=-491, y=0364, z=-253
x=-325, y=0378, z=-441
x=-130, y=0356, z=-533
x=-056, y=0333, z=-555
x=0120, y=0353, z=-511
x=0242, y=0373, z=-413
x=0242, y=0373, z=-413
x=0348, y=0364, z=-267
x=0306, y=0363, z=-354
x=0306, y=0363, z=-354
x=-113, y=0381, z=-539
x=-367, y=0396, z=-426
x=-513, y=0395, z=-224
x=-482, y=0386, z=0170
x=-482, y=0386, z=0170
x=0153, y=0394, z=0295
x=0351, y=0401, z=-107
x=0351, y=0401, z=-107
x=0340, y=0406, z=-192
x=0327, y=0411, z=-204
x=0324, y=0412, z=-210
x=0331, y=0414, z=-182
x=0332, y=0414, z=-161
